SNO,cap.shape,cap.surface,cap.color,bruises,odor,gill.attachment,gill.spacing,gill.size,gill.color,stalk.shape,stalk.root,stalk.surface.above.ring,stalk.surface.below.ring,stalk.color.above.ring,stalk.color.below.ring,veil.type,veil.color,ring.number,ring.type,spore.print.color,population,habitat,target
4,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,p
5,x,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e
8,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
11,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
16,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e
20,x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p
21,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e
27,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
28,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
31,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
34,x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,e
39,x,f,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
43,x,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,e
44,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p
50,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,e
51,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e
54,x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p
57,f,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
62,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e
66,f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e
67,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
73,f,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
74,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e
77,x,s,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,e
